------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |     Aki    | Acc. |                  Ei           Ek                  | Configurations  |    Terms   |Type|
          Wavelength |          Wavelength |     s^-1   |      |                 (eV)         (eV)                 |                 |            |    |
           Vac  (Å)  |           Vac  (Å)  |            |      |                                                   |                 |            |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                     |      74561.3560837  |  8.1279e 02| AAA  |    24.0432148035911     -     24.2094995884513    |  1s.5g - 1s.6h  |  3G  - 3H* |    |
                     |      74561.4087736  |  1.6459e 06| AAA  |    24.0432148035911     -     24.2094994709438    |  1s.5g - 1s.6h  |  3G  - 3H* |    |
                     |      74561.4668235  |  3.3922e 04| AAA  |    24.0432148035911     -     24.2094993414828    |  1s.5g - 1s.6h  |  3G  - 3H* |    |
                     |      74561.4961185  |  1.5646e 06| AAA  |    24.0432151158924     -     24.2094995884513    |  1s.5g - 1s.6h  |  3G  - 3H* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74561.5510323  |  1.6139e 06| AAA  |    24.0432153260405     -     24.2094996761326    |  1s.5g - 1s.6h  |  1G  - 1H* |    |
                     |      74561.5903484  |  3.870e 04 | AA   |    24.0432153260405     -     24.2094995884513    |  1s.5g - 1s.6h  |  1G  - 3H* |    |
                     |      74561.7010889  |  3.180e 02 | AA   |    24.0432153260405     -     24.2094993414828    |  1s.5g - 1s.6h  |  1G  - 3H* |    |
                     |      74581.4024283  |  6.134e 02 | AA   |    24.0432144600900     -     24.2094545501337    |  1s.5g - 1s.6f  |  3G  - 1F* |    |
                     |      74581.6966465  |  1.916e 02 | AA   |    24.0432151158924     -     24.2094545501337    |  1s.5g - 1s.6f  |  3G  - 1F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74581.7341081  |  2.8825e 02| AAA  |    24.0432144600900     -     24.2094538108310    |  1s.5g - 1s.6f  |  3G  - 3F* |    |
                     |      74581.7909275  |  1.0618e 04| AAA  |    24.0432153260405     -     24.2094545501337    |  1s.5g - 1s.6f  |  1G  - 1F* |    |
                     |      74581.8233655  |  1.0439e 04| AAA  |    24.0432144600900     -     24.2094536118806    |  1s.5g - 1s.6f  |  3G  - 3F* |    |
                     |      74581.8864011  |  1.1423e 04| AAA  |    24.0432151158924     -     24.2094541271798    |  1s.5g - 1s.6f  |  3G  - 3F* |    |
                     |      74581.8882170  |  1.0859e 04| AAA  |    24.0432148035911     -     24.2094538108310    |  1s.5g - 1s.6f  |  3G  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74582.0283289  |  8.8141e 00| AAA  |    24.0432151158924     -     24.2094538108310    |  1s.5g - 1s.6f  |  3G  - 3F* |    |
                     |      74582.1175869  |  5.2232e 02| AAA  |    24.0432151158924     -     24.2094536118806    |  1s.5g - 1s.6f  |  3G  - 3F* |    |
                     |      74582.1226107  |  2.670e 02 | AA   |    24.0432153260405     -     24.2094538108310    |  1s.5g - 1s.6f  |  1G  - 3F* |    |
                     |      74582.2118690  |  4.618e 02 | AA   |    24.0432153260405     -     24.2094536118806    |  1s.5g - 1s.6f  |  1G  - 3F* |    |
                     |      74591.81092    |  2.6987e 04| AAA  |    24.209248578139      -     24.37546547115      |  1s.6d - 1s.8p  |  1D  - 1P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74646.237836   |  1.171e 04 | AA   |    24.043152879083      -     24.209248578139     |  1s.5f - 1s.6d  |  3F* - 1D  |    |
                     |      74646.940855   |  2.8105e 04| AAA  |    24.043154443358      -     24.209248578139     |  1s.5f - 1s.6d  |  1F* - 1D  |    |
                     |      74685.194134   |  2.5203e 04| AAA  |    24.043152879083      -     24.209161941509     |  1s.5f - 1s.6d  |  3F* - 3D  |    |
                     |      74685.215244   |  2.2209e 03| AAA  |    24.043152879083      -     24.209161894586     |  1s.5f - 1s.6d  |  3F* - 3D  |    |
                     |      74685.306931   |  4.0116e 04| AAA  |    24.043153807565      -     24.209162619267     |  1s.5f - 1s.6d  |  3F* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74685.386952   |  3.6841e 04| AAA  |    24.043153260751      -     24.209161894586     |  1s.5f - 1s.6d  |  3F* - 3D  |    |
                     |      74685.611847   |  4.4569e 03| AAA  |    24.043153807565      -     24.209161941509     |  1s.5f - 1s.6d  |  3F* - 3D  |    |
                     |      74685.632958   |  9.0965e 01| AAA  |    24.043153807565      -     24.209161894586     |  1s.5f - 1s.6d  |  3F* - 3D  |    |
                     |      74685.897886   |  1.046e 04 | AA   |    24.043154443358      -     24.209161941509     |  1s.5f - 1s.6d  |  1F* - 3D  |    |
                     |      74685.918996   |  9.628e 02 | AA   |    24.043154443358      -     24.209161894586     |  1s.5f - 1s.6d  |  1F* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74849.697995   |  4.520e 03 | AA   |    24.209161894586      -     24.3748061040817    |  1s.6d - 1s.8f  |  3D  - 1F* |    |
                     |      74849.719198   |  3.486e 04 | AA   |    24.209161941509      -     24.3748061040817    |  1s.6d - 1s.8f  |  3D  - 1F* |    |
                     |      74849.790464   |  7.6687e 02| AAA  |    24.209161894586      -     24.3748058994448    |  1s.6d - 1s.8f  |  3D  - 3F* |    |
                     |      74849.811667   |  2.6838e 04| AAA  |    24.209161941509      -     24.3748058994448    |  1s.6d - 1s.8f  |  3D  - 3F* |    |
                     |      74849.850751   |  1.7255e 05| AAA  |    24.209161894586      -     24.3748057660277    |  1s.6d - 1s.8f  |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74849.884696   |  1.4651e 04| AAA  |    24.209161894586      -     24.3748056909070    |  1s.6d - 1s.8f  |  3D  - 3F* |    |
                     |      74849.905900   |  1.1852e 05| AAA  |    24.209161941509      -     24.3748056909070    |  1s.6d - 1s.8f  |  3D  - 3F* |    |
                     |      74850.117928   |  1.4494e 05| AAA  |    24.209162619267      -     24.3748058994448    |  1s.6d - 1s.8f  |  3D  - 3F* |    |
                     |      74888.888226   |  1.3321e 05| AAA  |    24.209248578139      -     24.3748061040817    |  1s.6d - 1s.8f  |  1D  - 1F* |    |
                     |      74888.980792   |  2.433e 00 | AA   |    24.209248578139      -     24.3748058994448    |  1s.6d - 1s.8f  |  1D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74889.075123   |  3.939e 04 | AA   |    24.209248578139      -     24.3748056909070    |  1s.6d - 1s.8f  |  1D  - 3F* |    |
                     |      74974.4817852  |  9.076e 03 | AA   |    24.2094536118806     -     24.3748221314095    |  1s.6f - 1s.8g  |  3F* - 1G  |    |
                     |      74974.5051385  |  1.3311e 04| AAA  |    24.2094536118806     -     24.3748220799000    |  1s.6f - 1s.8g  |  3F* - 3G  |    |
                     |      74974.5719851  |  6.793e 03 | AA   |    24.2094538108310     -     24.3748221314095    |  1s.6f - 1s.8g  |  3F* - 1G  |    |
                     |      74974.5776402  |  2.0700e 05| AAA  |    24.2094536118806     -     24.3748219199859    |  1s.6f - 1s.8g  |  3F* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74974.5953385  |  2.8881e 02| AAA  |    24.2094538108310     -     24.3748220799000    |  1s.6f - 1s.8g  |  3F* - 3G  |    |
                     |      74974.6298994  |  2.2643e 05| AAA  |    24.2094538108310     -     24.3748220036703    |  1s.6f - 1s.8g  |  3F* - 3G  |    |
                     |      74974.6678403  |  7.3585e 03| AAA  |    24.2094538108310     -     24.3748219199859    |  1s.6f - 1s.8g  |  3F* - 3G  |    |
                     |      74974.7387648  |  2.0794e 05| AAA  |    24.2094541271798     -     24.3748220799000    |  1s.6f - 1s.8g  |  3F* - 3G  |    |
                     |      74974.9071711  |  2.1056e 05| AAA  |    24.2094545501337     -     24.3748221314095    |  1s.6f - 1s.8g  |  1F* - 1G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74974.9305247  |  4.884e 03 | AA   |    24.2094545501337     -     24.3748220799000    |  1s.6f - 1s.8g  |  1F* - 3G  |    |
                     |      74975.0030271  |  1.207e 04 | AA   |    24.2094545501337     -     24.3748219199859    |  1s.6f - 1s.8g  |  1F* - 3G  |    |
                     |      74989.55080724 |  9.028e 00 | AA   |    24.2094906664828     -     24.3748259554903    |  1s.6g - 1s.8h  |  3G  - 1H* |    |
                     |      74989.56758530 |  6.5517e 03| AAA  |    24.2094906664828     -     24.3748259184985    |  1s.6g - 1s.8h  |  3G  - 3H* |    |
                     |      74989.61484097 |  2.5260e 05| AAA  |    24.2094906664828     -     24.3748258143104    |  1s.6g - 1s.8h  |  3G  - 3H* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74989.64088658 |  5.002e 03 | AA   |    24.2094908650874     -     24.3748259554903    |  1s.6g - 1s.8h  |  3G  - 1H* |    |
                     |      74989.65766468 |  1.2739e 02| AAA  |    24.2094908650874     -     24.3748259184985    |  1s.6g - 1s.8h  |  3G  - 3H* |    |
                     |      74989.68014841 |  2.5797e 05| AAA  |    24.2094908650874     -     24.3748258689271    |  1s.6g - 1s.8h  |  3G  - 3H* |    |
                     |      74989.70492046 |  5.3169e 03| AAA  |    24.2094908650874     -     24.3748258143104    |  1s.6g - 1s.8h  |  3G  - 3H* |    |
                     |      74989.73962888 |  2.4523e 05| AAA  |    24.2094910457995     -     24.3748259184985    |  1s.6g - 1s.8h  |  3G  - 3H* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74989.77810518 |  2.5296e 05| AAA  |    24.2094911676227     -     24.3748259554903    |  1s.6g - 1s.8h  |  1G  - 1H* |    |
                     |      74989.79488334 |  6.060e 03 | AA   |    24.2094911676227     -     24.3748259184985    |  1s.6g - 1s.8h  |  1G  - 3H* |    |
                     |      74989.84213930 |  5.258e 01 | AA   |    24.2094911676227     -     24.3748258143104    |  1s.6g - 1s.8h  |  1G  - 3H* |    |
                     |      74992.94230525 |  4.699e 00 | AA   |    24.2094993414828     -     24.3748271533294    |  1s.6h - 1s.8i  |  3H* - 1I  |    |
                     |      74992.95488462 |  3.6823e 03| AAA  |    24.2094993414828     -     24.3748271255972    |  1s.6h - 1s.8i  |  3H* - 3I  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74992.98809448 |  2.1458e 05| AAA  |    24.2094993414828     -     24.3748270523835    |  1s.6h - 1s.8i  |  3H* - 3I  |    |
